"days_since_admission","alanine aminotransferase (ALT)_LB","alanine aminotransferase (ALT)_UB","albumin_LB","albumin_UB","aspartate aminotransferase (AST)_LB","aspartate aminotransferase (AST)_UB","total bilirubin_LB","total bilirubin_UB","C-reactive protein (CRP) (Normal Sensitivity)_LB","C-reactive protein (CRP) (Normal Sensitivity)_UB","creatinine_LB","creatinine_UB","Ferritin_LB","Ferritin_UB","lactate dehydrogenase (LDH)_LB","lactate dehydrogenase (LDH)_UB","Fibrinogen_LB","Fibrinogen_UB","procalcitonin_LB","procalcitonin_UB","D-dimer (FEU)_LB","D-dimer (FEU)_UB","cardiac troponin (High Sensitivity)_LB","cardiac troponin (High Sensitivity)_UB","white blood cell count (Leukocytes)_LB","white blood cell count (Leukocytes)_UB","lymphocyte count_LB","lymphocyte count_UB","neutrophil count_LB","neutrophil count_UB","D-dimer (DDU)_LB","D-dimer (DDU)_UB","prothrombin time (PT)_LB","prothrombin time (PT)_UB","cardiac troponin (Normal Sensitivity)_LB","cardiac troponin (Normal Sensitivity)_UB"
21,-217.669094452664,317.758694452664,-2.66969643512156,8.33541690023785,-488.628711167692,575.271715282919,-1.24615349189141,2.61575516904026,50.8062746844667,85.7887666948436,0.453830450599227,2.75450954940077,-1537.01088584326,3947.75810850992,69.1329464625292,688.233720204137,328.207674295926,691.973193145934,-13.1685590394725,16.1610985131567,-12492.3729700582,17945.1173178843,-2.95141647580812,3.11364228225973,6.66146738968144,14.0926326103186,-9.19865836534913,12.0053250320158,-48.9616106312704,64.0136106312704,-64.4278669263686,3899.6343886655,0.700377698718267,29.8996223012817,0.0235186742523594,0.251521325747641
22,-302.768237612206,409.694129919899,-3.47760309393165,9.10760309393165,-432.870491676109,523.870491676109,-1.75791090337275,3.18359224509182,26.0083663399431,111.396433660057,0.266417617748421,2.56110238225158,-1309.92264730746,3255.12264730746,136.757897842117,614.742102157883,395.779359419158,680.220640580842,-20.6199841261038,22.4399841261038,-7794.47257687355,14191.044005445,-4.7441650028114,4.89881884896525,7.6110433333412,13.4431814728604,-8.50926076130595,11.2938858879524,-55.0279318442006,70.1279318442006,1348.8563100784,3399.3658899216,-12.2779533760025,42.4388835760025,-0.21234281800537,0.36634281800537
23,-308.21553133977,407.38213133977,-1.75840264320609,7.25637264320609,-548.254455039005,634.791255039005,-1.80410667203536,3.19355511328236,41.2951839715265,102.229816028473,0.113331786326325,2.68666821367368,-2295.3132486266,4545.56736627366,61.5320722777462,688.483312337639,369.59708357704,731.07691642296,-25.3928817534125,27.8026208838473,-11156.3233269301,18214.8947555015,-1.91733209780797,2.04433886472526,7.72268990407871,12.5817862863975,-11.0535944868002,13.9517763049821,-28.5490240449209,43.6463240449209,242.015755303842,3973.3903025909,0.175267740847728,28.9187767891523,-0.768479507541978,1.47872950754198
24,-285.270578348916,397.374578348916,-3.4743525413757,9.15387249409438,-443.134772709815,536.075949179815,-1.67430108909818,3.02572908909818,52.1379785514727,91.3060214485273,0.357246298301451,2.62724982569855,-2001.24721744576,4038.96141744576,82.0820924958079,695.066079004823,371.742379370418,647.787032394288,-9.71675245023155,12.0693774502316,-10050.6894615582,15844.6894615582,-3.44982212472806,3.58306498187092,7.08090502435915,13.2190949756409,-6.42742826369655,9.28924644551473,-22.2837360528543,36.3245960528543,212.217093810904,4254.0102061891,-1.50791047809347,31.2221104780935,0.08332,0.08332
25,-195.108431009671,299.185354086594,-2.52074587603442,8.22074587603442,-356.839901477098,439.639901477098,-1.547202372118,2.773356372118,43.0043672184436,112.770056119413,0.445160404403129,2.54064604720977,-1626.28363607773,3471.95023607773,168.174673425396,539.051993241271,345.746002836218,713.121997163782,-8.44301539746072,10.8430153974607,-13796.7675467991,19811.1379171694,-2.14874430722746,2.25158192627508,6.98310572776787,14.0992650848408,-6.01823833236965,8.90927833236965,-36.1043534295408,50.0860134295408,-391.321124960204,4871.0511249602,2.44488103152697,27.3650788621094,-0.0894387691508515,0.272581626150851
26,-194.843370892858,303.903976956797,-2.46799747903765,8.16799747903765,-449.02992922632,525.914544610936,-2.20227085874884,3.56451064794516,52.1220432652544,87.6613567347456,0.497869593360154,2.51874764801916,-669.584888448011,2868.42488844801,93.0843027038278,614.165697296172,374.230875439628,712.863124560372,-12.354226473026,14.6913094295162,-11270.568675442,17595.330675442,-2.61813993908629,2.73213993908629,6.92139798545775,13.6452608345422,-10.9043751322788,13.8019351322788,-24.5957662032039,40.0216662032039,1598.98618738792,3093.77711261208,6.06617773770652,23.1918222622935,0.049277778,0.049277778
27,-225.01650858639,328.709365729247,-2.23223869379567,7.90688179724395,-414.038330528408,506.411707147499,-0.820812741967977,2.20012308679556,42.8800238510446,101.075200029552,0.600284373355127,2.32736562664487,-2740.25874718663,4951.03374718663,121.528986839415,624.375013160585,345.195127817695,635.489968382305,-13.1824275400148,15.7904275400148,-7262.20663127987,15071.8300158953,-1.41811133671743,1.53061133671743,7.30113138718686,12.5511686128131,-8.76817398948441,11.5441139894844,-47.7358417519164,62.0575877836625,274.746382003019,3045.31515645852,-2.27735891775471,32.5927250177547,0.0811875,0.0811875
28,-222.225512972005,324.892179632005,-1.99624570913275,7.62957904246609,-564.690695194898,646.404980909183,-1.53271714315186,2.82095243726951,46.1153287821724,99.4180045511609,0.52741586487253,2.34752413512747,-1998.08256524012,4028.05529324012,218.683649260263,505.383017339737,321.357394316839,625.242605683161,-10.6434548474673,12.6954548474673,-12127.9686051329,18150.7686051329,-0.430259827822191,0.509659827822191,7.21243385473865,13.1495810706345,-6.29308646522917,9.13650646522917,-42.9874747703085,58.1063732377415,752.862182580619,3026.85201741938,0.771602271920697,28.5512047456231,0.0407923024736901,0.0551243645263099
29,-234.698637547887,343.744092093342,-3.80530657466321,9.58297657466321,-598.555322982846,689.38865631618,-1.49072369017348,2.95777103901069,33.1128117132619,87.3641113636611,0.412923350579026,2.56206280326713,-937.38624222448,3239.69393453218,81.6584117078444,685.488613782352,382.555249254513,609.236750745487,-14.6323041883399,17.7136375216732,-15994.1498325774,23700.2402941159,-0.993594885786802,1.0839698857868,7.96154736437133,12.1903815400576,-9.7545503643405,12.5322503643405,-25.4107987486302,40.5385130343445,754.436987922903,3526.5130120771,2.44364690642118,27.4335639769121,0.095307692,0.095307692
30,-298.326430434951,423.560203257365,-1.87438967014463,7.58941967014463,-497.471489174092,586.232518584092,-2.27397006814536,3.57397006814536,39.1729720250856,103.348456546343,0.365029648132335,2.64948035186767,-3447.31441316524,5104.20441316524,85.4780517837391,649.280771745673,337.119265229602,600.880734770398,-11.9274114932284,14.0414114932284,-20121.5751594927,26950.3180166355,-4.74255131891187,4.86524362660418,8.04802246365212,12.9061442030145,-10.2844645822865,13.2293045822865,-41.9957845032677,56.7957845032677,1169.58187177978,2471.19812822022,8.05615179034481,21.3724196396552,0.068615385,0.068615385
